mtcut:
dropout: 0.26187667291038286, L2_weight: 0.03758173962771714, best_f1: 0.7657222181835096
dropout: 0.1367133274011658, L2_weight: 0.03606735381903802, best_f1: 0.7703056468182672
dropout: 0.23990773678649394, L2_weight: 0.030626286173859343, best_f1: 0.7564446928485534
dropout: 0.5298642225959327, L2_weight: 0.0314015098822742, best_f1: 0.7754739494621973
dropout: 0.3254225670725045, L2_weight: 0.026760554528288977, best_f1: 0.7682056964205705
dropout: 0.2852783205481535, L2_weight: 0.05706094072005832, best_f1: 0.753576329592812
dropout: 0.49955768455836347, L2_weight: 0.020228462499689646, best_f1: 0.7660750855345144
dropout: 0.5072390727239052, L2_weight: 0.0066653536611241395, best_f1: 0.7743101260619157
dropout: 0.17266808091664035, L2_weight: 0.02162116406228788, best_f1: 0.7694878127419509
dropout: 0.2357455566299728, L2_weight: 0.03297248907399205, best_f1: 0.7691224133107697
dropout: 0.3529702068851238, L2_weight: 0.027743798076712935, best_f1: 0.768953717627002
dropout: 0.17236027631683423, L2_weight: 0.029903942205175945, best_f1: 0.7679388072288933
dropout: 0.3480780849002063, L2_weight: 0.05154907817494332, best_f1: 0.7588221100235589
dropout: 0.4657655652001055, L2_weight: 0.05492964564054703, best_f1: 0.7640886718722182
dropout: 0.19979435317705005, L2_weight: 0.03728810350885322, best_f1: 0.7603145262648326
dropout: 0.49576296798073294, L2_weight: 0.0028309904323206847, best_f1: 0.775791399095084
dropout: 0.17297740033982348, L2_weight: 0.012161343981566972, best_f1: 0.7679938805045593
dropout: 0.29874443849072874, L2_weight: 0.012181182620195113, best_f1: 0.7740837446466826
dropout: 0.14054533231194224, L2_weight: 0.03680136455960984, best_f1: 0.7568653014551696
dropout: 0.20183522371052579, L2_weight: 0.006468911889051559, best_f1: 0.768640078178225
dropout: 0.14176026057679283, L2_weight: 0.011170084164164581, best_f1: 0.7674135062331084
dropout: 0.3105223071433232, L2_weight: 0.03432996905934129, best_f1: 0.7535101944962526
dropout: 0.5561716796798746, L2_weight: 0.030166635090709604, best_f1: 0.7663673439844795
dropout: 0.3734007767683165, L2_weight: 0.008323015128093173, best_f1: 0.7684996239463775
dropout: 0.48008073915488725, L2_weight: 0.031315179535891725, best_f1: 0.7752348282941128
dropout: 0.2852971550623432, L2_weight: 0.05454988304323953, best_f1: 0.7683292375037359
dropout: 0.19726862396659053, L2_weight: 0.04855856078649877, best_f1: 0.761881760236842    

