choopy:
dropout: 0.522210925762524, L2_weight: 0.045719309773477844, best_f1: 0.7698417579902964
dropout: 0.16718212205620062, L2_weight: 0.050998590479296724, best_f1: 0.7748678022748303
dropout: 0.5780171359446247, L2_weight: 0.056921821736501614, best_f1: 0.7596653265724773
dropout: 0.2189823135459457, L2_weight: 0.03310952429246116, best_f1: 0.7714348484536817
dropout: 0.21802404486871726, L2_weight: 0.007086796019612231, best_f1: 0.7693153618534226
dropout: 0.41145084744485094, L2_weight: 0.044765432366383036, best_f1: 0.759529297210862
dropout: 0.4966700418808315, L2_weight: 0.04949528849686388, best_f1: 0.766795855509639
dropout: 0.2619163824165812, L2_weight: 0.009900101261545613, best_f1: 0.7821477853766611
dropout: 0.2133529296905244, L2_weight: 0.057775407114228586, best_f1: 0.7512222473571764
dropout: 0.33150367890751076, L2_weight: 0.02302540395230748, best_f1: 0.7780470302316862
dropout: 0.38570129734495673, L2_weight: 0.02630445422583176, best_f1: 0.7622630730220478
dropout: 0.32618977675490934, L2_weight: 0.03402657077874926, best_f1: 0.7722784067895317
dropout: 0.33728533934427407, L2_weight: 0.039790877656778065, best_f1: 0.767754448650221
dropout: 0.2295042458577368, L2_weight: 0.04143022158490768, best_f1: 0.7700533156973998
dropout: 0.15341426885082785, L2_weight: 0.042452545915224474, best_f1: 0.76316312463799
dropout: 0.5826210707760615, L2_weight: 0.0016876269337363263, best_f1: 0.7668155284053096
dropout: 0.2807613874570376, L2_weight: 0.029348359270476344, best_f1: 0.7797128826094702
dropout: 0.3609919548562466, L2_weight: 0.048594755850002065, best_f1: 0.7628000626767673
dropout: 0.19063243166661067, L2_weight: 0.040024402361219416, best_f1: 0.7697361661709793
dropout: 0.4385629134001352, L2_weight: 0.04730977000913954, best_f1: 0.766429640806857
dropout: 0.5528198380872603, L2_weight: 0.04148899526457545, best_f1: 0.7670136723576421
dropout: 0.182474739916599, L2_weight: 0.04169624852883647, best_f1: 0.7725775535593487
dropout: 0.5791046899086364, L2_weight: 0.009281746814507292, best_f1: 0.77502714356442
dropout: 0.5624326258129726, L2_weight: 0.05696774090159745, best_f1: 0.7656878284933606
dropout: 0.45617149391345924, L2_weight: 0.05054818444240052, best_f1: 0.7671113559530359
dropout: 0.288481151195193, L2_weight: 0.05568052195585292, best_f1: 0.7659188387684412
dropout: 0.47364563311164176, L2_weight: 0.01296240530840867, best_f1: 0.7761267765417507
dropout: 0.4242486099894416, L2_weight: 0.04238080291715181, best_f1: 0.7781798377659972
dropout: 0.15647858508808152, L2_weight: 0.008720277847302517, best_f1: 0.7733427849449129
dropout: 0.37405952690584954, L2_weight: 0.021404077576945235, best_f1: 0.7737883864279216
dropout: 0.3695407823029053, L2_weight: 0.01806259017474351, best_f1: 0.7689170937727149
dropout: 0.10613912369898773, L2_weight: 0.007631532803733911, best_f1: 0.7679056400271478
dropout: 0.13871089192665206, L2_weight: 0.013603390578434307, best_f1: 0.7653394496799933
dropout: 0.3851642115684366, L2_weight: 0.038301746739147935, best_f1: 0.7658751807369533
dropout: 0.3644676914702062, L2_weight: 0.03555906443024184, best_f1: 0.7804884798846601
dropout: 0.3743473028219111, L2_weight: 0.04528191607275457, best_f1: 0.7634083972314858
dropout: 0.26435026026654895, L2_weight: 0.059009621078000396, best_f1: 0.7735827879391725
dropout: 0.4410022802939889, L2_weight: 0.006404553876694269, best_f1: 0.768938492288786
dropout: 0.41973684736016015, L2_weight: 0.02631223806378243, best_f1: 0.7689276776221519
dropout: 0.20492562226825864, L2_weight: 0.02373847676463738, best_f1: 0.7703920602069886
dropout: 0.32930335469353067, L2_weight: 0.05279420632060159, best_f1: 0.7641649458932277
dropout: 0.29051034499788575, L2_weight: 0.014612431992318035, best_f1: 0.7648203058413693
dropout: 0.4197133992289419, L2_weight: 0.0024756345581373493, best_f1: 0.768486975345862
dropout: 0.11927591966869003, L2_weight: 0.042077235035586115, best_f1: 0.7661464536310981
dropout: 0.30426793962724685, L2_weight: 0.03297634853717118, best_f1: 0.7635743655385653
dropout: 0.2359377071920454, L2_weight: 0.02979366426320356, best_f1: 0.7589072970283317
dropout: 0.5441340382262441, L2_weight: 0.024599669362289762, best_f1: 0.7688101696418812
dropout: 0.27592312791394136, L2_weight: 0.026380988513415783, best_f1: 0.762422718285864
dropout: 0.37407891420816486, L2_weight: 0.008781596339176663, best_f1: 0.769306084944889
dropout: 0.13344198817137584, L2_weight: 0.0253813261692673, best_f1: 0.767328264576821
dropout: 0.3487682843793012, L2_weight: 0.016704249661279896, best_f1: 0.7629839656054884
dropout: 0.2217588813546685, L2_weight: 0.030630330380686202, best_f1: 0.7756538938490982
dropout: 0.5891774291854983, L2_weight: 0.004216836645616986, best_f1: 0.7755671071342396
dropout: 0.40857073833497615, L2_weight: 0.05351817463895045, best_f1: 0.7610844198033506
dropout: 0.5568214862774455, L2_weight: 0.00911120315564664, best_f1: 0.7680842255038826
dropout: 0.14516992713467478, L2_weight: 0.0570873803092432, best_f1: 0.7660498241331557
dropout: 0.582959594012472, L2_weight: 0.03402559892593537, best_f1: 0.767405191242552
dropout: 0.12128285679128845, L2_weight: 0.03579150057369757, best_f1: 0.7740439517451625
dropout: 0.3903785824669783, L2_weight: 0.013137715939883724, best_f1: 0.7783907782281978
dropout: 0.21209273742366322, L2_weight: 0.05602577749924351, best_f1: 0.7631479696647606
